RK,PLAYER,WAR,OFF,DEF,WAA,TRPG,ORPG,RAA,WAAWP
,Shohei Ohtani,10.1,6,-1.1,7.4,9.5,8.1,72.6,1.2
,Mookie Betts,8.4,7.5,0.9,6.4,5.1,4.7,65,0.5
,Ronald Acuna Jr.,8.1,8.5,-0.8,6,5.1,4.7,61.7,0.5
,Gerrit Cole,7.5,0,0,5.7,4.6,3.1,52.9,0.7
,Marcus Semien,7.4,5.7,2.3,5.2,4.8,4.6,50.3,0.5
,Matt Olson,7.4,6.6,0,5.2,5,4.7,52.7,0.5
,Corey Seager,6.9,6.4,1.2,5.3,5,4.6,53,0.5
,Freddie Freeman,6.6,7.5,-1.6,4.4,5,4.7,45.6,0.5
,Gunnar Henderson,6.3,4.8,2.1,4.3,4.8,4.6,41.5,0.5
,Blake Snell,6,0,0,4.5,4.7,3.4,40.5,0.6
,Francisco Lindor,6,5.3,1.6,3.8,4.9,4.7,38.7,0.5
,Austin Riley,5.9,5,1.3,3.7,4.9,4.7,37.4,0.5
,Ha-Seong Kim,5.8,4.2,2.1,3.8,4.9,4.7,37.8,0.5
,Juan Soto,5.6,6.1,-1.1,3.4,5,4.7,34.4,0.5
,Logan Webb,5.6,0,0,3.7,4.7,3.7,33.8,0.6
,Wander Franco,5.5,3.9,2.3,4,4.8,4.6,38.8,0.5
,Fernando Tatis Jr.,5.5,2.7,2.3,3.6,4.8,4.7,35.2,0.5
,Corbin Carroll,5.4,5.8,-0.7,3.3,4.9,4.7,34.1,0.5
,Kyle Tucker,5.4,5.3,-0.4,3.2,4.8,4.6,31.6,0.5
,Sonny Gray,5.4,0,0,3.7,4.6,3.5,36.5,0.6
,Andres Gimenez,5.3,3,2.9,3.3,4.7,4.6,31.9,0.5
,Julio Rodriguez,5.3,5.8,0,3.2,4.8,4.6,31.2,0.5
,Yandy Diaz,5.2,5.1,-0.7,3.3,4.8,4.6,32,0.5
,Luis Robert Jr.,5.1,4.4,1.2,3.2,4.8,4.6,30.9,0.5
,Jose Ramirez,5.1,5,0.2,3,4.8,4.6,29,0.5
,J.P. Crawford,5,5.4,0.5,3,4.8,4.6,29.8,0.5
,Nico Hoerner,5,3.7,1.9,2.9,4.8,4.7,29.3,0.5
,Ketel Marte,4.9,4.8,0.6,2.9,4.9,4.7,29.3,0.5
,Kyle Bradish,4.9,0,0,3.5,4.6,3.6,33.6,0.6
,Alex Bregman,4.9,4.3,1,2.7,4.7,4.6,25.6,0.5
,Luis Arraez,4.9,4.7,0.6,2.9,4.9,4.7,29.2,0.5
,Bo Bichette,4.8,4.4,1.2,3,4.8,4.6,28.8,0.5
,Dansby Swanson,4.8,3,2.7,2.8,4.8,4.7,27.8,0.5
,Ozzie Albies,4.7,4.7,0.5,2.7,4.9,4.7,27.3,0.5
,Yordan Alvarez,4.5,4.7,-1,3,4.9,4.6,29.1,0.5
,Kodai Senga,4.5,0,0,3.1,4.7,3.7,28.3,0.6
,Aaron Judge,4.5,4.8,-0.8,3,4.9,4.6,29.8,0.5
,Cody Bellinger,4.4,4.2,0.2,2.7,4.9,4.7,27.2,0.5
,Xander Bogaerts,4.4,4.8,0.4,2.3,4.9,4.7,23.3,0.5
,Matt Chapman,4.4,3.1,1.6,2.5,4.7,4.6,23.9,0.5
,Zac Gallen,4.4,0,0,2.6,4.7,4,23.8,0.6
,Bryson Stott,4.4,3.7,1.2,2.3,4.8,4.7,23.4,0.5
,Bobby Witt Jr.,4.4,4.9,0.3,2.2,4.8,4.6,21,0.5
,Adley Rutschman,4.3,4.6,0.2,2.2,4.8,4.6,21.3,0.5
,Gabriel Moreno,4.3,1.9,3.1,3.1,4.8,4.7,30.5,0.5
,Nolan Jones,4.3,3.3,0.7,2.9,4.9,4.7,29.4,0.5
,Isaac Paredes,4.3,4.3,0.1,2.4,4.8,4.6,23.2,0.5
,Adolis Garcia,4.2,3.6,0.2,2.2,4.7,4.6,20.9,0.5
,Zack Wheeler,4.2,0,0,2.6,4.7,4,23.7,0.6
,Jordan Montgomery,4.1,0,0,2.5,9.3,7.6,23.7,1.2
,Will Smith,4.1,3.4,1.4,2.4,4.8,4.7,24.2,0.5
,Jesus Luzardo,4,0,0,2.5,4.7,4,23.1,0.6
,Ke'Bryan Hayes,4,1.9,2.4,2.3,4.7,4.7,22.9,0.5
,Brandon Nimmo,4,4.7,-0.3,1.9,4.9,4.7,19.8,0.5
,Sean Murphy,3.9,3.4,1.3,2.5,4.9,4.7,25.5,0.5
,George Kirby,3.9,0,0,2.2,4.6,3.9,23.5,0.6
,Daulton Varsho,3.9,0.8,2.8,2,4.5,4.6,18.5,0.5
,Kevin Kiermaier,3.9,2,2.2,2.5,4.7,4.6,24.3,0.5
,Merrill Kelly,3.9,0,0,2.3,4.7,4,21.6,0.6
,Jeremy Pena,3.8,3.1,1.7,1.8,4.7,4.6,16.7,0.5
