teamAbbrev,HomeFlag,firstName,lastName,ExpectedSOG,AvgShotsSznByLoc,LastFiveAvgShots,LastTenAvgShots,Opponent,RankAvgShotsAgainst,GoalieLastName,avgshotsvsOppAtLoc,AvgShotsAgainstThisOpp,SeasonAvgSOG,playerId,RankAvgGoalsAgainst,RankAvgSavePctg,lastfivemargin,locationmargin,combinedmargin
COL,0,Gabriel,Landeskog,2.0,1.5,1.4,0.7,CBJ,96.67,Merzlikins,0.0,0.0,1.75,8476455,85.83,70.83,-0.6000000000000001,-0.5,-1.1
COL,0,Artturi,Lehkonen,3.0,1.0,1.8,0.9,CBJ,96.67,Merzlikins,0.0,0.0,2.25,8477476,85.83,70.83,-1.2,-2.0,-3.2
COL,0,Nathan,MacKinnon,4.0,3.5,3.0,1.5,CBJ,96.67,Merzlikins,0.0,0.0,3.75,8477492,85.83,70.83,-1.0,-0.5,-1.5
COL,0,Valeri,Nichushkin,2.0,2.0,1.6,0.8,CBJ,96.67,Merzlikins,0.0,0.0,2.0,8477501,85.83,70.83,-0.3999999999999999,0.0,-0.3999999999999999
COL,0,Devon,Toews,1.0,1.0,1.0,0.5,CBJ,96.67,Merzlikins,0.0,0.0,1.25,8478038,85.83,70.83,0.0,0.0,0.0
COL,0,Victor,Olofsson,2.0,2.5,1.8,0.9,CBJ,96.67,Merzlikins,0.0,0.0,2.25,8478109,85.83,70.83,-0.19999999999999996,0.5,0.30000000000000004
COL,0,Ross,Colton,1.0,2.0,1.6,0.8,CBJ,96.67,Merzlikins,0.0,0.0,2.0,8479525,85.83,70.83,0.6000000000000001,1.0,1.6
COL,0,Cale,Makar,4.0,2.5,2.4,1.2,CBJ,96.67,Merzlikins,0.0,0.0,3.0,8480069,85.83,70.83,-1.6,-1.5,-3.1
COL,0,Jack,Drury,1.0,0.5,0.6,0.3,CBJ,96.67,Merzlikins,0.0,0.0,0.75,8480835,85.83,70.83,-0.4,-0.5,-0.9
COL,0,Joel,Kiviranta,1.0,0.5,0.6,0.3,CBJ,96.67,Merzlikins,0.0,0.0,0.75,8481641,85.83,70.83,-0.4,-0.5,-0.9
CAR,0,K'Andre,Miller,2.0,2.0,1.4,0.7,ANA,40.83,Mrazek,0.0,0.0,2.33,8480817,98.33,2.5,-0.6000000000000001,0.0,-0.6000000000000001
CAR,0,Alexander,Nikishin,2.0,3.0,1.2,0.6,ANA,40.83,Mrazek,0.0,0.0,2.0,8482100,98.33,2.5,-0.8,1.0,0.19999999999999996
DAL,1,Wyatt,Johnston,3.0,3.0,1.8,0.9,VAN,72.5,Lankinen,0.0,0.0,3.0,8482740,85.83,43.33,-1.2,0.0,-1.2
BOS,0,Elias,Lindholm,3.0,3.0,2.4,1.2,VGK,2.08,Schmid,0.0,0.0,3.0,8477496,52.08,34.17,-0.6000000000000001,0.0,-0.6000000000000001
BOS,0,Viktor,Arvidsson,2.0,1.0,1.8,0.9,VGK,2.08,Schmid,0.0,0.0,2.25,8478042,52.08,34.17,-0.19999999999999996,-1.0,-1.2
BOS,0,Pavel,Zacha,1.0,2.0,0.8,0.4,VGK,2.08,Schmid,0.0,0.0,1.0,8478401,52.08,34.17,-0.19999999999999996,1.0,0.8
